Time [s],0.5mV,1mV,1.5mV,2mV,2.5mV,3mV,3.5mV,4mV,4.5mV,5mV
1.0083,1.224289048,0.948593095,0.672897143,0.397201191,0.121505238,-0.154190714,-0.429886666,-0.705582619,-0.981278571,-1.256974523
1.0084,1.24066981,0.98135462,0.72203943,0.46272424,0.20340905,-0.05590614,-0.31522133,-0.57453652,-0.83385171,-1.0931669
1.0085,1.258073971,1.016162942,0.774251913,0.532340884,0.290429855,0.048518826,-0.193392203,-0.435303232,-0.677214261,-0.919125291
1.0086,1.276432844,1.052880688,0.829328533,0.605776377,0.382224221,0.158672065,-0.064880091,-0.288432246,-0.511984402,-0.735536558
1.0087,1.295673976,1.091362951,0.887051927,0.682740903,0.478429878,0.274118854,0.06980783,-0.134503195,-0.338814219,-0.543125243
1.0088,1.31572143,1.131457859,0.947194288,0.762930718,0.578667147,0.394403576,0.210140006,0.025876435,-0.158387135,-0.342650706
1.0089,1.336496087,1.173007175,1.009518262,0.846029349,0.682540436,0.519051524,0.355562611,0.192073698,0.028584786,-0.134904127
1.009,1.357915961,1.215846923,1.073777884,0.931708845,0.789639806,0.647570767,0.505501728,0.36343269,0.221363651,0.079294612
1.0091,1.379896517,1.259808034,1.13971955,1.019631067,0.899542584,0.7794541,0.659365617,0.539277134,0.41918865,0.299100167
1.0092,1.402351007,1.304717013,1.20708302,1.109449027,1.011815033,0.91418104,0.816547046,0.718913053,0.621279059,0.523645066
1.0093,1.425190813,1.350396627,1.27560244,1.200808253,1.126014066,1.05121988,0.976425693,0.901631506,0.826837319,0.752043133
1.0094,1.448325799,1.396666597,1.345007395,1.293348194,1.241688992,1.190029791,1.138370589,1.086711387,1.035052186,0.983392984
1.0095,1.471664659,1.443344318,1.415023977,1.386703635,1.358383294,1.330062953,1.301742612,1.273422271,1.245101929,1.216781588
1.0096,1.495115287,1.490245573,1.48537586,1.480506147,1.475636434,1.47076672,1.465897007,1.461027294,1.45615758,1.451287867
1.0097,1.518585133,1.537185266,1.555785399,1.574385532,1.592985665,1.611585799,1.630185932,1.648786065,1.667386198,1.685986331
1.0098,1.541981573,1.583978147,1.62597472,1.667971293,1.709967866,1.75196444,1.793961013,1.835957586,1.877954159,1.919950733
1.0099,1.565212272,1.630439544,1.695666817,1.760894089,1.826121361,1.891348633,1.956575905,2.021803177,2.087030449,2.152257721
1.01,1.588185549,1.676386098,1.764586646,1.852787195,1.940987744,2.029188293,2.117388841,2.20558939,2.293789939,2.381990488
